RegionID,RegionName,City,CountyName,Price
71038,30318,Atlanta,Fulton County,142931.0268
71039,30319,Brookhaven,Dekalb County,414905.5384
71043,30324,Atlanta,Fulton County,294352.5923
71045,30326,Atlanta,Fulton County,304075.1024
71046,30327,Atlanta,Fulton County,808635.9221
71047,30328,Sandy Springs,Fulton County,312130.645
71048,30329,Atlanta,Dekalb County,284217.9029
71055,30337,College Park,Fulton County,110848.6493
71056,30338,Dunwoody,Dekalb County,395076.4692
71057,30339,Vinings,Cobb County,271152.8627
71058,30340,Atlanta,Dekalb County,154737.1361
71059,30341,Chamblee,Dekalb County,234518.5416
71060,30342,Sandy Springs,Fulton County,472475.7827
71062,30344,East Point,Fulton County,61997.04988
71063,30345,Atlanta,Dekalb County,349832.6399
71064,30346,Dunwoody,Dekalb County,271889.0399
71070,30354,Atlanta,Fulton County,60925.59986
71076,30360,Dunwoody,Dekalb County,217072.6339
71079,30363,Atlanta,Fulton County,193617.7836
71023,30303,Atlanta,Fulton County,102574.7371
71025,30305,Atlanta,Fulton County,431370.7853
71026,30306,Atlanta,Fulton County,488639.8572
71027,30307,Atlanta,Dekalb County,402945.7725
71028,30308,Atlanta,Fulton County,204257.8589
71029,30309,Atlanta,Fulton County,259975.4876
71030,30310,Atlanta,Fulton County,50984.68588
71031,30311,Atlanta,Fulton County,61608.86305
71032,30312,Atlanta,Fulton County,205356.1723
71033,30313,Atlanta,Fulton County,163553.6335
71034,30314,Atlanta,Fulton County,37428.08586
71035,30315,Atlanta,Fulton County,64887.60932
71036,30316,Atlanta,Dekalb County,165249.8314
71037,30317,Atlanta,Dekalb County,234544.2582
71038,30318,Atlanta,Fulton County,144703.7563
71039,30319,Brookhaven,Dekalb County,417211.7116
71043,30324,Atlanta,Fulton County,296778.2185
71045,30326,Atlanta,Fulton County,307051.4541
71046,30327,Atlanta,Fulton County,813265.5297
71047,30328,Sandy Springs,Fulton County,314857.3592
71048,30329,Atlanta,Dekalb County,285803.9819
71055,30337,College Park,Fulton County,112110.4094
71056,30338,Dunwoody,Dekalb County,396556.015
71057,30339,Vinings,Cobb County,272782.6589
71058,30340,Atlanta,Dekalb County,156355.8871
71059,30341,Chamblee,Dekalb County,236245.4646
71060,30342,Sandy Springs,Fulton County,475691.3817
71062,30344,East Point,Fulton County,63063.6824
71063,30345,Atlanta,Dekalb County,351070.2612
71064,30346,Dunwoody,Dekalb County,273015.5217
71070,30354,Atlanta,Fulton County,61717.74796
71076,30360,Dunwoody,Dekalb County,218802.5369
71079,30363,Atlanta,Fulton County,195584.035
71023,30303,Atlanta,Fulton County,104299.1206
71025,30305,Atlanta,Fulton County,433275.3233
71026,30306,Atlanta,Fulton County,490533.1314
71027,30307,Atlanta,Dekalb County,404375.9908
71028,30308,Atlanta,Fulton County,205576.3492
71029,30309,Atlanta,Fulton County,261855.7101
71030,30310,Atlanta,Fulton County,52436.18141
71031,30311,Atlanta,Fulton County,62735.88852
71032,30312,Atlanta,Fulton County,206696.8459
71033,30313,Atlanta,Fulton County,165625.5151
71034,30314,Atlanta,Fulton County,37209.7943
71035,30315,Atlanta,Fulton County,65092.50223
71036,30316,Atlanta,Dekalb County,166951.5805
71037,30317,Atlanta,Dekalb County,235720.1354
71038,30318,Atlanta,Fulton County,146373.1126
71039,30319,Brookhaven,Dekalb County,419641.8887
71043,30324,Atlanta,Fulton County,298274.704
71045,30326,Atlanta,Fulton County,309418.8855
71046,30327,Atlanta,Fulton County,816694.8623
71047,30328,Sandy Springs,Fulton County,317330.9723
71048,30329,Atlanta,Dekalb County,286890.8087
71055,30337,College Park,Fulton County,113141.2656
71056,30338,Dunwoody,Dekalb County,397635.7195
71057,30339,Vinings,Cobb County,274123.0764
71058,30340,Atlanta,Dekalb County,157784.8262
71059,30341,Chamblee,Dekalb County,237984.4174
71060,30342,Sandy Springs,Fulton County,478051.3996
71062,30344,East Point,Fulton County,64085.17268
71063,30345,Atlanta,Dekalb County,352124.8452
71064,30346,Dunwoody,Dekalb County,273772.2623
71070,30354,Atlanta,Fulton County,62312.36276
71076,30360,Dunwoody,Dekalb County,220439.232
71079,30363,Atlanta,Fulton County,196899.5679
71023,30303,Atlanta,Fulton County,105522.708
71025,30305,Atlanta,Fulton County,434031.4603
